CERTI,FROM CTS,TO CTS,COLOR,CLARITY,FLR,%
GIA,0.7,0.79,G,IF,NON,51
GIA,0.7,0.79,G,VVS1,NON,48
GIA,0.7,0.79,G,VVS2,NON,48
GIA,0.7,0.79,G,VS1,NON,47
GIA,0.7,0.79,G,VS2,NON,47
GIA,0.7,0.79,G,SI1,NON,51
GIA,0.7,0.79,G,SI2,NON,51
GIA,0.7,0.79,H,IF,NON,51
GIA,0.7,0.79,H,VVS1,NON,48
GIA,0.7,0.79,H,VVS2,NON,48
GIA,0.7,0.79,H,VS1,NON,47
GIA,0.7,0.79,H,VS2,NON,47
GIA,0.7,0.79,H,SI1,NON,51
GIA,0.7,0.79,H,SI2,NON,51
GIA,0.7,0.79,I,IF,NON,51
GIA,0.7,0.79,I,VVS1,NON,48
GIA,0.7,0.79,I,VVS2,NON,48
GIA,0.7,0.79,I,VS1,NON,47
GIA,0.7,0.79,I,VS2,NON,47
GIA,0.7,0.79,I,SI1,NON,51
GIA,0.7,0.79,I,SI2,NON,51
GIA,0.7,0.79,J,IF,NON,51
GIA,0.7,0.79,J,VVS1,NON,48
GIA,0.7,0.79,J,VVS2,NON,48
GIA,0.7,0.79,J,VS1,NON,47
GIA,0.7,0.79,J,VS2,NON,47
GIA,0.7,0.79,J,SI1,NON,51
GIA,0.7,0.79,J,SI2,NON,51
GIA,0.8,0.89,D,IF,NON,42
GIA,0.8,0.89,D,VVS1,NON,40
GIA,0.8,0.89,D,VVS2,NON,40
GIA,0.8,0.89,D,VS1,NON,40
GIA,0.8,0.89,D,VS2,NON,40
GIA,0.8,0.89,D,SI1,NON,45
GIA,0.8,0.89,D,SI2,NON,45
GIA,0.8,0.89,E,IF,NON,42
GIA,0.8,0.89,E,VVS1,NON,40
GIA,0.8,0.89,E,VVS2,NON,40
GIA,0.8,0.89,E,VS1,NON,40
GIA,0.8,0.89,E,VS2,NON,40
GIA,0.8,0.89,E,SI1,NON,45
GIA,0.8,0.89,E,SI2,NON,45
GIA,0.8,0.89,F,IF,NON,42
GIA,0.8,0.89,F,VVS1,NON,40
GIA,0.8,0.89,F,VVS2,NON,40
GIA,0.8,0.89,F,VS1,NON,40
GIA,0.8,0.89,F,VS2,NON,40
GIA,0.8,0.89,F,SI1,NON,45
GIA,0.8,0.89,F,SI2,NON,45
GIA,0.8,0.89,G,IF,NON,42
GIA,0.8,0.89,G,VVS1,NON,40
GIA,0.8,0.89,G,VVS2,NON,40
GIA,0.8,0.89,G,VS1,NON,40
GIA,0.8,0.89,G,VS2,NON,40
GIA,0.8,0.89,G,SI1,NON,45
GIA,0.8,0.89,G,SI2,NON,45
GIA,0.8,0.89,H,IF,NON,42
GIA,0.8,0.89,H,VVS1,NON,40
GIA,0.8,0.89,H,VVS2,NON,40
GIA,0.8,0.89,H,VS1,NON,40
GIA,0.8,0.89,H,VS2,NON,40
GIA,0.8,0.89,H,SI1,NON,45
GIA,0.8,0.89,H,SI2,NON,45
GIA,0.8,0.89,I,IF,NON,42
GIA,0.8,0.89,I,VVS1,NON,40
GIA,0.8,0.89,I,VVS2,NON,40
GIA,0.8,0.89,I,VS1,NON,40
GIA,0.8,0.89,I,VS2,NON,40
GIA,0.8,0.89,I,SI1,NON,45
GIA,0.8,0.89,I,SI2,NON,45
GIA,0.8,0.89,J,IF,NON,42
GIA,0.8,0.89,J,VVS1,NON,40
GIA,0.8,0.89,J,VVS2,NON,40
GIA,0.8,0.89,J,VS1,NON,40
GIA,0.8,0.89,J,VS2,NON,40
GIA,0.8,0.89,J,SI1,NON,45
GIA,0.8,0.89,J,SI2,NON,45
GIA,0.9,0.94,D,IF,NON,50
GIA,0.9,0.94,D,VVS1,NON,49
GIA,0.9,0.94,D,VVS2,NON,49
GIA,0.9,0.94,D,VS1,NON,47
GIA,0.9,0.94,D,VS2,NON,47
GIA,0.9,0.94,D,SI1,NON,49
GIA,0.9,0.94,D,SI2,NON,49
GIA,0.9,0.94,E,IF,NON,50
GIA,0.9,0.94,E,VVS1,NON,49
GIA,0.9,0.94,E,VVS2,NON,49
GIA,0.9,0.94,E,VS1,NON,47
GIA,0.9,0.94,E,VS2,NON,47
GIA,0.9,0.94,E,SI1,NON,49
GIA,0.9,0.94,E,SI2,NON,49
GIA,0.9,0.94,F,IF,NON,50
