SHAPE,FROM CTS,TO CTS,COLOR,CLARITY,CUT,PRICE,DATE
RO,0.01,0.03,L,VS2,EX,390, 8/30/2024
RO,0.01,0.03,L,SI1,EX,340, 8/30/2024
RO,0.01,0.03,L,SI2,EX,310, 8/30/2024
RO,0.01,0.03,L,SI3,EX,280, 8/30/2024
RO,0.01,0.03,L,I1,EX,250, 8/30/2024
RO,0.01,0.03,L,I2,EX,200, 8/30/2024
RO,0.01,0.03,L,I3,EX,160, 8/30/2024
RO,0.01,0.03,M,IF,EX,290, 8/30/2024
RO,0.01,0.03,M,VVS1,EX,290, 8/30/2024
RO,0.01,0.03,M,VVS2,EX,290, 8/30/2024
RO,0.01,0.03,M,VS1,EX,260, 8/30/2024
RO,0.01,0.03,M,VS2,EX,260, 8/30/2024
RO,0.01,0.03,M,SI1,EX,230, 8/30/2024
RO,0.01,0.03,M,SI2,EX,200, 8/30/2024
RO,0.01,0.03,M,SI3,EX,180, 8/30/2024
RO,0.01,0.03,M,I1,EX,160, 8/30/2024
RO,0.01,0.03,M,I2,EX,140, 8/30/2024
RO,0.01,0.03,M,I3,EX,120, 8/30/2024
RO,0.01,0.03,N,IF,EX,290, 8/30/2024
RO,0.01,0.03,N,VVS1,EX,290, 8/30/2024
RO,0.01,0.03,N,VVS2,EX,290, 8/30/2024
RO,0.01,0.03,N,VS1,EX,260, 8/30/2024
RO,0.01,0.03,N,VS2,EX,260, 8/30/2024
RO,0.01,0.03,N,SI1,EX,230, 8/30/2024
RO,0.01,0.03,N,SI2,EX,200, 8/30/2024
RO,0.01,0.03,N,SI3,EX,180, 8/30/2024
RO,0.01,0.03,N,I1,EX,160, 8/30/2024
RO,0.01,0.03,N,I2,EX,140, 8/30/2024
RO,0.01,0.03,N,I3,EX,120, 8/30/2024
RO,0.04,0.07,D,IF,EX,950, 8/30/2024
RO,0.04,0.07,D,VVS1,EX,950, 8/30/2024
RO,0.04,0.07,D,VVS2,EX,950, 8/30/2024
RO,0.04,0.07,D,VS1,EX,830, 8/30/2024
RO,0.04,0.07,D,VS2,EX,830, 8/30/2024
RO,0.04,0.07,D,SI1,EX,720, 8/30/2024
RO,0.04,0.07,D,SI2,EX,620, 8/30/2024
RO,0.04,0.07,D,SI3,EX,530, 8/30/2024
RO,0.04,0.07,D,I1,EX,480, 8/30/2024
RO,0.04,0.07,D,I2,EX,400, 8/30/2024
RO,0.04,0.07,D,I3,EX,310, 8/30/2024
RO,0.04,0.07,E,IF,EX,950, 8/30/2024
RO,0.04,0.07,E,VVS1,EX,950, 8/30/2024
RO,0.04,0.07,E,VVS2,EX,950, 8/30/2024
RO,0.04,0.07,E,VS1,EX,830, 8/30/2024
RO,0.04,0.07,E,VS2,EX,830, 8/30/2024
RO,0.04,0.07,E,SI1,EX,720, 8/30/2024
RO,0.04,0.07,E,SI2,EX,620, 8/30/2024
